Year,National Champion,Heisman Trophy
1906,"Princeton (HELMS, NCF)",
1905,"Chicago (HELMS, NCF)",
1904,"Pennsylvania (HELMS, NCF), Michigan (NCF)",
1903,"Princeton (HELMS, NCF), Michigan (NCF)",
1902,"Michigan (HELMS, NCF)",
1901,"Michigan (HELMS, NCF)",
1900,"Yale (HELMS, NCF)",
1899,"Harvard (HELMS, NCF)",
1898,"Harvard (HELMS, NCF)",
1897,"Pennsylvania (HELMS, NCF)",
1896,"Princeton (HELMS, NCF), Lafayette (NCF)",
1895,"Pennsylvania (HELMS, NCF)",
1894,"Yale (HELMS, NCF)",
1893,"Princeton (HELMS, NCF)",
1892,"Yale (HELMS, NCF)",
1891,"Yale (HELMS, NCF)",
1890,"Harvard (HELMS, NCF)",
1889,"Princeton (HELMS, NCF)",
1888,"Yale (HELMS, NCF)",
1887,"Yale (HELMS, NCF)",
1886,"Yale (HELMS, NCF)",
1885,"Princeton (HELMS, NCF)",
1884,"Yale (HELMS, NCF)",
1883,"Yale (HELMS, NCF)",
1882,Yale (NCF),
1881,Yale (NCF),
1880,"Princeton (NCF), Yale (NCF)",
1879,Princeton (NCF),
1878,Princeton (NCF),
1877,Yale (NCF),
1876,Yale (NCF),
1875,Harvard (NCF),
1874,Yale (NCF),
1873,Princeton (NCF),
1872,Princeton (NCF),
1870,Princeton (NCF),
1869,Princeton (NCF),
