Conf,Season,Team,Total.Wins,Total.Losses,Total.Ties,Total.Pct,Conf.Wins,Conf.Losses,Conf.Ties,Conf.Pct,Off,Def,SRS,SOS,Pre,High,Post,Notes
ACC,1956,Wake Forest,2,5,3,0.35,1,5,1,0.214,9.1,10.2,-1.89,1.21,,,,
ACC,1957,North Carolina State,7,1,2,0.8,5,0,1,0.917,15.5,6.7,10.9,3.3,,10,15,
ACC,1957,Duke,6,3,2,0.636,5,1,1,0.786,16.5,12.3,13.04,9.13,10,4,16,
ACC,1957,Clemson,7,3,0,0.7,4,3,0,0.571,21.6,7.8,9.94,2.34,,14,,
ACC,1957,North Carolina,6,4,0,0.6,4,3,0,0.571,14.2,12.9,10.43,8.13,,14,,
ACC,1957,Maryland,5,5,0,0.5,4,3,0,0.571,11.9,14.4,6.64,8.04,,,,
ACC,1957,Virginia,3,6,1,0.35,2,4,0,0.333,11.7,17.1,1.04,5.54,,,,
ACC,1957,South Carolina,5,5,0,0.5,2,5,0,0.286,20.2,14.7,5.05,2.45,,,,
ACC,1957,Wake Forest,0,10,0,0,0,7,0,0,6.4,22.5,-7.89,7.31,,,,
ACC,1958,Clemson,8,3,0,0.727,5,1,0,0.833,15.4,12.5,5.01,1.19,18,8,12,
ACC,1958,South Carolina,7,3,0,0.7,5,2,0,0.714,16.8,11.6,6.41,0.21,,15,15,
ACC,1958,Duke,5,5,0,0.5,3,2,0,0.6,12.8,13.1,4.49,4.59,,,,
ACC,1958,North Carolina,6,4,0,0.6,4,3,0,0.571,19.5,10.9,7.61,1.21,10,10,,
ACC,1958,Maryland,4,6,0,0.4,3,3,0,0.5,13.2,17.5,-2.77,1.43,,,,
ACC,1958,Wake Forest,3,7,0,0.3,2,4,0,0.333,12.4,16.3,-4.21,1.49,,,,
ACC,1958,North Carolina State,2,7,1,0.25,2,5,0,0.286,12,16,-7.47,-3.17,,,,
ACC,1958,Virginia,1,9,0,0.1,1,5,0,0.167,8.9,30.1,-12.47,3.03,,,,
ACC,1959,Clemson,9,2,0,0.818,6,1,0,0.857,25.9,9.4,11.88,-0.3,18,5,11,
ACC,1959,North Carolina,5,5,0,0.5,5,2,0,0.714,19.8,14.2,3.33,2.03,12,12,,
ACC,1959,Maryland,5,5,0,0.5,4,2,0,0.667,18.4,18.8,1.97,3.37,,,,
ACC,1959,South Carolina,6,4,0,0.6,4,3,0,0.571,17,16.9,0.72,0.52,14,11,,
ACC,1959,Wake Forest,6,4,0,0.6,4,3,0,0.571,21.8,17.8,3.08,-1.12,,,,
ACC,1959,Duke,4,6,0,0.4,2,3,0,0.4,10.4,15.9,1.38,4.28,,,,
ACC,1959,North Carolina State,1,9,0,0.1,0,6,0,0,11.7,20.1,-7.34,1.86,,,,
ACC,1959,Virginia,0,10,0,0,0,5,0,0,8,39.3,-18.74,2.16,,,,
ACC,1960,Duke,8,3,0,0.727,5,1,0,0.833,15.7,10.4,9.17,4.26,,6,10,
ACC,1960,Maryland,6,4,0,0.6,5,2,0,0.714,17.1,16.4,-0.32,-2.32,,,,
ACC,1960,North Carolina State,6,3,1,0.65,4,1,1,0.75,14.8,11.3,-0.15,-4.25,,,,
ACC,1960,Clemson,6,4,0,0.6,4,2,0,0.667,19.7,12.4,-0.16,-6.16,9,7,,
ACC,1960,South Carolina,3,6,1,0.35,3,3,1,0.5,11.7,18.6,-5.69,-0.59,,,,
ACC,1960,North Carolina,3,7,0,0.3,2,5,0,0.286,11.7,16.1,-6.55,-1.25,,,,
ACC,1960,Wake Forest,2,8,0,0.2,2,5,0,0.286,11.9,21.5,-12.21,-2.41,,,,
ACC,1960,Virginia,0,10,0,0,0,6,0,0,10.3,33.2,-23.05,-3.55,,,,
ACC,1961,Duke,7,3,0,0.7,5,1,0,0.833,18.3,10.6,13.49,6.59,,20,20,
ACC,1961,Maryland,7,3,0,0.7,3,3,0,0.5,15.6,14.1,6.52,3.02,,10,,
ACC,1961,Clemson,5,5,0,0.5,3,3,0,0.5,19.9,12.6,9.31,3.81,,,,
ACC,1961,North Carolina,5,5,0,0.5,4,3,0,0.571,12.1,14.1,6.16,7.16,,,,
ACC,1961,North Carolina State,4,6,0,0.4,3,4,0,0.429,12.9,14.9,2.39,4.99,,,,
ACC,1961,South Carolina,4,6,0,0.4,3,4,0,0.429,12.8,18.7,0.58,5.28,,,,
ACC,1961,Wake Forest,4,6,0,0.4,3,4,0,0.429,10.3,15.9,-0.16,4.74,,,,
ACC,1961,Virginia,4,6,0,0.4,2,4,0,0.333,12.3,19,-3.88,1.12,,,,
ACC,1962,Duke,8,2,0,0.8,6,0,0,1,19.9,10.5,11.65,3.95,8,8,,
ACC,1962,Clemson,6,4,0,0.6,5,1,0,0.833,16.8,13,3.49,0.99,,,,
ACC,1962,Maryland,6,4,0,0.6,5,2,0,0.714,17,12.8,5.31,1.71,,,,
ACC,1962,South Carolina,4,5,1,0.45,3,4,0,0.429,18.7,14.8,2.01,0.21,,,,
ACC,1962,North Carolina,3,7,0,0.3,3,4,0,0.429,11.2,20.6,-3.79,4.42,,,,
ACC,1962,North Carolina State,3,6,1,0.35,3,4,0,0.429,10.8,13.9,-2.68,-0.58,,,,
ACC,1962,Virginia,5,5,0,0.5,1,4,0,0.2,19.4,16.7,-4.29,-5.99,,,,
ACC,1962,Wake Forest,0,10,0,0,0,7,0,0,6.6,27.8,-16.94,1.46,,,,
ACC,1963,North Carolina,9,2,0,0.818,6,1,0,0.857,17.9,9.4,11.1,2.46,,,,
ACC,1963,North Carolina State,8,3,0,0.727,6,1,0,0.857,17.1,9.7,7.84,1.93,,,,
ACC,1963,Clemson,5,4,1,0.55,5,2,0,0.714,18.1,14,5.45,3.25,,,,
ACC,1963,Duke,5,4,1,0.55,5,2,0,0.714,23,19.8,5.46,3.36,,,,
ACC,1963,Maryland,3,7,0,0.3,2,5,0,0.286,14.8,20.1,-1.51,4,,,,
ACC,1963,South Carolina,1,8,1,0.15,1,5,1,0.214,10.4,17,-5.54,1.96,,,,
ACC,1963,Wake Forest,1,9,0,0.1,1,5,0,0.167,3.7,31.8,-16.13,3.07,,,,
ACC,1963,Virginia,2,7,1,0.25,0,5,1,0.083,7.6,16.9,-6.63,1.37,,,,
ACC,1964,North Carolina State,5,5,0,0.5,5,2,0,0.714,11.9,19.4,-0.99,4.11,,,,
ACC,1964,Maryland,5,5,0,0.5,4,3,0,0.571,16.4,12.6,4.96,2.26,,,,
ACC,1964,North Carolina,5,5,0,0.5,4,3,0,0.571,17.8,13.5,5.78,3.28,,,,
ACC,1964,Wake Forest,5,5,0,0.5,4,3,0,0.571,17.2,17.8,-0.44,0.26,,,,
ACC,1964,Duke,4,5,1,0.45,3,2,1,0.583,14.8,13.5,1.79,1.89,,,,
ACC,1964,South Carolina,3,5,2,0.4,2,3,1,0.417,9.5,17.6,-2.74,3.76,,,,
ACC,1964,Clemson,3,7,0,0.3,2,4,0,0.333,10.5,13.5,-2.22,0.28,,,,
ACC,1964,Virginia,5,5,0,0.5,1,5,0,0.167,16.3,21.4,-4.67,-2.07,,,,
ACC,1965,North Carolina State,6,4,0,0.6,4,3,0,0.571,13.4,11,6.65,3.85,,,,
ACC,1965,Clemson,5,5,0,0.5,4,3,0,0.571,11.7,13.7,4.16,5.26,,,,
ACC,1965,Duke,6,4,0,0.6,4,2,0,0.667,21.6,15.7,8.3,4,,,,
ACC,1965,South Carolina,5,5,0,0.5,4,2,0,0.667,15.1,16.7,3.98,5.78,,,,
ACC,1965,Maryland,4,6,0,0.4,3,3,0,0.5,13.2,16.4,-1.31,1.99,,,,
ACC,1965,North Carolina,4,6,0,0.4,3,3,0,0.5,14.6,19.5,3.26,7.46,,,,
ACC,1965,Virginia,4,6,0,0.4,2,4,0,0.333,17,18.9,-0.62,2.38,,,,
ACC,1965,Wake Forest,3,7,0,0.3,1,5,0,0.167,8.8,20.4,-4.78,3.92,,,,
ACC,1966,Clemson,6,4,0,0.6,6,1,0,0.857,17.4,17.7,6.34,5.14,,,,
ACC,1966,North Carolina State,5,5,0,0.5,5,2,0,0.714,19.1,16.8,5.54,3.64,,,,
ACC,1966,Maryland,4,6,0,0.4,3,3,0,0.5,18,20.4,-0.34,2.57,,,,
ACC,1966,Virginia,4,6,0,0.4,3,3,0,0.5,21.4,23.5,-1.25,1.65,,,,
ACC,1966,Duke,5,5,0,0.5,2,3,0,0.4,16.4,23.7,1.58,3.38,,,,
ACC,1966,Wake Forest,3,7,0,0.3,2,4,0,0.333,9,16.2,-3.73,2.97,,,,
ACC,1966,North Carolina,2,8,0,0.2,1,4,0,0.2,9,19.6,-3.91,5.89,,,,
ACC,1966,South Carolina,1,9,0,0.1,1,3,0,0.25,9.5,21.6,-3.22,9.08,,,,
ACC,1967,Clemson,6,4,0,0.6,6,0,0,1,16.6,12.8,8.01,4.51,,,,
ACC,1967,North Carolina State,9,2,0,0.818,5,1,0,0.833,19.5,8.5,14.99,4.17,,3,,
ACC,1967,South Carolina,5,5,0,0.5,4,2,0,0.667,15.9,16.6,1.46,2.56,,,,
ACC,1967,Virginia,5,5,0,0.5,3,3,0,0.5,17.2,16.9,0.29,-0.22,,,,
ACC,1967,Wake Forest,4,6,0,0.4,3,4,0,0.429,17.5,25.6,-2.31,3.49,,,,
ACC,1967,Duke,4,6,0,0.4,2,4,0,0.333,14.3,15.3,1.13,2.53,,,,
ACC,1967,North Carolina,2,8,0,0.2,2,5,0,0.286,10.4,18.2,-7.94,0.46,,,,
ACC,1967,Maryland,0,9,0,0,0,6,0,0,5.1,25.7,-11.87,6.02,,,,
ACC,1968,North Carolina State,6,4,0,0.6,6,1,0,0.857,20.5,18.5,8.93,5.43,,,,
ACC,1968,Clemson,4,5,1,0.45,4,1,1,0.75,18.4,17.9,5.42,5.42,,,,
ACC,1968,Virginia,7,3,0,0.7,3,2,0,0.6,32.8,22.2,5.95,-1.95,,,,
ACC,1968,South Carolina,4,6,0,0.4,4,3,0,0.571,21.4,22.3,4,5.5,,,,
ACC,1968,Duke,4,6,0,0.4,3,4,0,0.429,21.4,28.7,-1.23,4.67,,,,
ACC,1968,Wake Forest,2,7,1,0.25,2,3,1,0.417,21.2,22.8,2.37,5.67,,,,
ACC,1968,Maryland,2,8,0,0.2,2,5,0,0.286,17.1,29.9,-4.86,6.14,,,,
ACC,1968,North Carolina,3,7,0,0.3,1,6,0,0.143,17.8,27.2,-3.2,3.9,,,,
ACC,1969,South Carolina,7,4,0,0.636,6,0,0,1,17.2,17.7,1.14,0.78,,,,
ACC,1969,North Carolina,5,5,0,0.5,3,3,0,0.5,20,16.4,-0.07,-3.37,,,,
ACC,1969,Clemson,4,6,0,0.4,3,3,0,0.5,17.8,25,-5.63,-0.23,,,,
ACC,1969,Duke,3,6,1,0.35,3,3,1,0.5,16.1,22.4,-9.5,-4.2,,,,
ACC,1969,Maryland,3,7,0,0.3,3,3,0,0.5,10,24.9,-10.99,-0.69,,,,
ACC,1969,North Carolina State,3,6,1,0.35,3,2,1,0.583,18.3,20.1,-2.59,0.62,,,,
ACC,1969,Wake Forest,3,7,0,0.3,2,5,0,0.286,12.5,27.9,-11.43,-2.13,,,,
ACC,1969,Virginia,3,7,0,0.3,1,5,0,0.167,11.5,17,-14.3,-9.3,,,,
ACC,1970,Wake Forest,6,5,0,0.545,5,1,0,0.833,17.4,21.9,3.64,5.45,,,,
ACC,1970,North Carolina,8,4,0,0.667,5,2,0,0.714,31,18.9,6.43,-1.65,,18,,
ACC,1970,Duke,6,5,0,0.545,5,2,0,0.714,20.8,22.9,0.62,2.25,,,,
ACC,1970,South Carolina,4,6,1,0.409,3,2,1,0.583,25.9,23,4.13,3.41,17,17,,
ACC,1970,North Carolina State,3,7,1,0.318,2,3,1,0.417,8.2,16.3,-9.24,-1.79,,,,
ACC,1970,Clemson,3,8,0,0.273,2,4,0,0.333,14.9,28.5,-5.98,3.48,,,,
ACC,1970,Maryland,2,9,0,0.182,2,4,0,0.333,10.2,21.9,-11.15,-0.97,,,,
ACC,1970,Virginia,5,6,0,0.455,0,6,0,0,21.8,17,-6.07,-7.62,,,,
ACC,1971,North Carolina,9,3,0,0.75,6,0,0,1,24,12.7,10.91,0.82,,18,,
ACC,1971,Clemson,5,6,0,0.455,4,2,0,0.667,14.1,18.4,0.42,3.69,,,,
ACC,1971,Duke,6,5,0,0.545,2,3,0,0.4,15.5,13.5,3.87,2.14,,14,,
ACC,1971,Wake Forest,6,5,0,0.545,2,3,0,0.4,19.8,16.2,-0.75,-3.3,,,,
ACC,1971,Virginia,3,8,0,0.273,2,3,0,0.4,12.2,24.7,-7.37,1.44,,,,
ACC,1971,North Carolina State,3,8,0,0.273,2,4,0,0.333,13.4,24.9,-10.79,-0.07,,,,
ACC,1971,Maryland,2,9,0,0.182,1,4,0,0.2,20.4,25.7,-6.49,0.06,,,,
ACC,1972,North Carolina,11,1,0,0.917,6,0,0,1,27,17.5,14.38,3.72,,12,12,
ACC,1972,North Carolina State,8,3,1,0.708,4,1,1,0.75,34.1,20,14.81,2.81,,17,17,
ACC,1972,Maryland,5,5,1,0.5,3,2,1,0.583,22.1,19.7,2.45,0.18,,,,
ACC,1972,Duke,5,6,0,0.455,3,3,0,0.5,12,14.2,3.96,6.14,,,,
ACC,1972,Clemson,4,7,0,0.364,2,4,0,0.333,13,22.3,-2.25,4.66,,,,
ACC,1972,Virginia,4,7,0,0.364,1,5,0,0.167,18.1,25.1,-5.77,0.87,,,,
ACC,1972,Wake Forest,2,9,0,0.182,1,5,0,0.167,8,30.8,-12.23,4.22,,,,
ACC,1973,North Carolina State,9,3,0,0.75,6,0,0,1,33,20.9,16.29,6.79,17,14,16,
ACC,1973,Maryland,8,4,0,0.667,5,1,0,0.833,27.9,11.8,13.33,2.16,,18,20,
ACC,1973,Clemson,5,6,0,0.455,4,2,0,0.667,21,23.9,-0.89,1.66,,,,
ACC,1973,Virginia,4,7,0,0.364,3,3,0,0.5,18.1,27.3,-7.06,0.85,,,,
ACC,1973,Duke,2,8,1,0.227,1,4,1,0.25,12,18.5,-4.26,2.83,,,,
ACC,1973,North Carolina,4,7,0,0.364,1,5,0,0.167,22,24.2,-0.18,3.73,19,19,,
ACC,1973,Wake Forest,1,9,1,0.136,0,5,1,0.083,6.6,29.6,-12.71,2.83,,,,
ACC,1974,Maryland,8,4,0,0.667,6,0,0,1,26.3,8.7,17.07,6.73,14,10,13,
ACC,1974,North Carolina State,9,2,1,0.792,4,2,0,0.667,26.4,20.1,12.15,4.82,18,8,11,
ACC,1974,Clemson,7,4,0,0.636,4,2,0,0.667,22.4,22.7,9.21,7.76,,,,
ACC,1974,North Carolina,7,5,0,0.583,4,2,0,0.667,30.3,23.3,10.36,5.19,,,,
ACC,1974,Duke,6,5,0,0.545,2,4,0,0.333,18.3,18.9,6.64,5.82,,,,
ACC,1974,Virginia,4,7,0,0.364,1,5,0,0.167,18.8,21.7,1.13,4.32,,,,
ACC,1974,Wake Forest,1,10,0,0.091,0,6,0,0,6.7,31.6,-8.58,7.15,,,,
ACC,1975,Maryland,9,2,1,0.792,5,0,0,1,26,12.5,12.36,1.52,17,13,13,
ACC,1975,Duke,4,5,2,0.455,3,0,2,0.8,17.9,19.3,1.33,2.42,,,,
ACC,1975,North Carolina State,7,4,1,0.625,2,2,1,0.5,21.7,17.5,8.96,5.04,13,13,,
ACC,1975,Wake Forest,3,8,0,0.273,3,3,0,0.5,20.1,24,-5.37,0.72,,,,
ACC,1975,Clemson,2,9,0,0.182,2,3,0,0.4,16.1,34.6,-6.74,5.45,,,,
ACC,1975,North Carolina,3,7,1,0.318,1,4,1,0.25,18.8,24.7,-4.12,1.7,,,,
ACC,1975,Virginia,1,10,0,0.091,0,4,0,0,15.9,38.9,-14.27,1.46,,,,
ACC,1976,Maryland,11,1,0,0.917,5,0,0,1,24.5,9.6,18.84,4.09,12,4,8,
ACC,1976,North Carolina,9,3,0,0.75,4,1,0,0.8,20.3,18.3,7.43,3.43,,14,,
ACC,1976,Wake Forest,5,6,0,0.455,3,3,0,0.5,16.1,18.7,3.61,6.07,,,,
ACC,1976,Duke,5,5,1,0.5,2,3,1,0.417,21.3,22.3,6.51,7.42,,,,
ACC,1976,North Carolina State,3,7,1,0.318,2,3,0,0.4,18.6,23.5,2.03,7.12,,,,
ACC,1976,Virginia,2,9,0,0.182,1,3,0,0.25,9.6,24.2,-8.51,4.49,,,,
ACC,1976,Clemson,3,6,2,0.364,0,4,1,0.1,15.6,21.5,3.29,7.75,,,,
ACC,1977,North Carolina,8,3,1,0.708,5,0,1,0.917,20.9,8.5,15.34,5.26,,14,17,
ACC,1977,Clemson,8,3,1,0.708,4,1,1,0.75,19,13.6,14.16,8.08,,11,19,
ACC,1977,Maryland,8,4,0,0.667,4,2,0,0.667,21.2,14.9,10.82,5.07,10,10,,
ACC,1977,North Carolina State,8,4,0,0.667,4,2,0,0.667,21.6,15.1,12.65,7.15,,,,
ACC,1977,Duke,5,6,0,0.455,2,4,0,0.333,21,20.1,8.18,7.27,,,,
ACC,1977,Virginia,1,9,1,0.136,1,5,0,0.167,5.1,25.5,-7.33,7.94,,,,
ACC,1977,Wake Forest,1,10,0,0.091,0,6,0,0,10.3,24.5,-9.64,4.63,,,,
ACC,1978,Clemson,11,1,0,0.917,6,0,0,1,30.7,10.9,17.69,2.52,18,6,6,
ACC,1978,Maryland,9,3,0,0.75,5,1,0,0.833,21.8,13.9,13.55,5.46,,5,20,
ACC,1978,North Carolina State,9,3,0,0.75,4,2,0,0.667,23.3,17.3,10.69,4.61,,18,18,
ACC,1978,North Carolina,5,6,0,0.455,3,3,0,0.5,18.1,19.8,2.6,3.96,19,19,,
ACC,1978,Duke,4,7,0,0.364,2,4,0,0.333,9.8,22.5,-1.25,7.57,,,,
ACC,1978,Wake Forest,1,10,0,0.091,1,5,0,0.167,9.5,24.9,-6.1,7.09,,,,
ACC,1978,Virginia,2,9,0,0.182,0,6,0,0,12.6,21.5,-6.95,1.6,,,,
ACC,1979,North Carolina State,7,4,0,0.636,5,1,0,0.833,23.5,19.4,13.89,9.7,,14,,
ACC,1979,Clemson,8,4,0,0.667,4,2,0,0.667,17.1,9.7,14.28,7.86,,13,,
ACC,1979,Maryland,7,4,0,0.636,4,2,0,0.667,18,12.3,12.55,6.46,,,,
ACC,1979,Wake Forest,8,4,0,0.667,3,2,0,0.6,20,23.6,7.13,8.71,,14,,
ACC,1979,North Carolina,8,3,1,0.708,3,3,0,0.5,24.2,13.9,16.45,7.7,,14,15,
ACC,1979,Virginia,6,5,0,0.545,1,4,0,0.2,23.5,12.2,9.1,2.28,,,,
ACC,1979,Duke,2,8,1,0.227,0,6,0,0,13.8,24,-3.29,6.26,,,,
ACC,1980,North Carolina,11,1,0,0.917,6,0,0,1,24.8,10.8,18.69,4.78,14,6,10,
ACC,1980,Maryland,8,4,0,0.667,5,1,0,0.833,17.6,13.8,11.9,7.15,,19,,
ACC,1980,North Carolina State,6,5,0,0.545,3,3,0,0.5,20.2,19.3,4.74,4.83,,,,
ACC,1980,Clemson,6,5,0,0.545,2,4,0,0.333,19.7,20.2,6.57,6.3,,,,
ACC,1980,Wake Forest,5,6,0,0.455,2,4,0,0.333,22.8,19.4,5.89,3.98,,,,
ACC,1980,Virginia,4,7,0,0.364,2,4,0,0.333,13.1,23.5,-1.53,7.11,,,,
ACC,1980,Duke,2,9,0,0.182,1,5,0,0.167,19.5,26.9,-2.5,5.77,,,,
ACC,1981,Clemson,12,0,0,1,6,0,0,1,28.2,8.8,21.34,5.84,,1,1,
ACC,1981,North Carolina,10,2,0,0.833,5,1,0,0.833,31.3,12.5,15.97,3.88,12,3,9,
ACC,1981,Maryland,4,6,1,0.409,4,2,0,0.667,21.1,17.6,8.93,7.29,,,,
ACC,1981,Duke,6,5,0,0.545,3,3,0,0.5,19.1,20.9,3.99,5.63,,,,
ACC,1981,North Carolina State,4,7,0,0.364,2,4,0,0.333,16.5,20.3,4.69,7.97,,,,
ACC,1981,Wake Forest,4,7,0,0.364,1,5,0,0.167,19.7,33.2,-2.45,5.56,,,,
ACC,1981,Virginia,1,10,0,0.091,0,6,0,0,11.5,23.7,-4.4,6.97,,,,
ACC,1982,Clemson,9,1,1,0.864,6,0,0,1,26.3,13.4,13.63,2.91,11,7,8,
ACC,1982,Maryland,8,4,0,0.667,5,1,0,0.833,31.1,18.3,16.22,6.39,,16,20,
ACC,1982,North Carolina,8,4,0,0.667,3,3,0,0.5,29,12.4,15.44,4.36,5,5,18,
ACC,1982,Duke,6,5,0,0.545,3,3,0,0.5,27.9,26.4,5.86,4.13,,,,
ACC,1982,North Carolina State,6,5,0,0.545,3,3,0,0.5,18.7,23.2,4.53,4.98,,,,
ACC,1982,Virginia,2,9,0,0.182,1,5,0,0.167,18.9,30,-6.81,1.92,,,,
ACC,1982,Wake Forest,3,8,0,0.273,0,6,0,0,18.2,29.3,-6.16,3.02,,,,
ACC,1983,Maryland,8,4,0,0.667,5,1,0,0.833,26.3,21.1,12.65,7.4,17,7,,
ACC,1983,Clemson,9,1,1,0.864,7,0,0,1,30.7,18.2,15.08,3.8,,11,11,
ACC,1983,North Carolina,8,4,0,0.667,4,3,0,0.571,28.1,18,11.03,3.11,11,3,,
ACC,1983,Georgia Tech,3,8,0,0.273,3,3,0,0.5,20.2,28.5,-0.26,7.38,,,,
ACC,1983,Virginia,6,5,0,0.545,3,4,0,0.429,22.9,25.5,0.32,1.23,,,,
ACC,1983,Duke,3,8,0,0.273,3,4,0,0.429,22.4,31.8,-0.6,6.04,,,,
ACC,1983,Wake Forest,4,7,0,0.364,1,6,0,0.143,23.4,25.5,-2.2,0.62,,,,
ACC,1983,North Carolina State,3,8,0,0.273,1,6,0,0.143,21.5,22.4,-1.05,2.23,,,,
ACC,1984,Maryland,9,3,0,0.75,6,0,0,1,31.7,23.3,13.09,5,,12,12,
ACC,1984,Clemson,7,4,0,0.636,5,2,0,0.714,31.5,19.5,10.35,3.26,4,2,,
ACC,1984,Virginia,8,2,2,0.75,3,2,2,0.571,27.1,19.4,11.09,2.59,,19,20,
ACC,1984,Georgia Tech,6,4,1,0.591,3,2,1,0.583,26.9,18.3,9.18,3.36,,12,,
ACC,1984,North Carolina,5,5,1,0.5,3,3,1,0.5,21.3,24.9,1.7,4.06,,,,
ACC,1984,Wake Forest,6,5,0,0.545,3,4,0,0.429,18.6,21.1,-2.28,0.18,,,,
ACC,1984,North Carolina State,3,8,0,0.273,1,6,0,0.143,23.9,28.3,-3.88,0.76,,,,
ACC,1984,Duke,2,9,0,0.182,1,6,0,0.143,11.6,27.4,-8.36,5.1,,,,
ACC,1985,Maryland,9,3,0,0.75,6,0,0,1,27.2,16,15.63,5.38,7,7,18,
ACC,1985,Georgia Tech,9,2,1,0.792,5,1,0,0.833,21,11,11.42,2.67,,19,19,
ACC,1985,Clemson,6,6,0,0.5,4,3,0,0.571,20.3,18.5,5.17,3.92,,,,
ACC,1985,Virginia,6,5,0,0.545,4,3,0,0.571,23.8,19.7,5.24,1.51,,20,,
ACC,1985,North Carolina,5,6,0,0.455,3,4,0,0.429,20.4,20.3,2.03,3.03,,,,
ACC,1985,Duke,4,7,0,0.364,2,5,0,0.286,17.5,22.9,-4.44,0.37,,,,
ACC,1985,North Carolina State,3,8,0,0.273,2,5,0,0.286,16.9,27.7,-7.54,1.64,,,,
ACC,1985,Wake Forest,4,7,0,0.364,1,6,0,0.143,19.3,22.6,-2.97,1.21,,,,
ACC,1986,Clemson,8,2,2,0.75,5,1,1,0.786,24.7,15.6,10.14,1.72,,15,17,
ACC,1986,North Carolina State,8,3,1,0.708,5,2,0,0.714,27.3,22.8,5.8,-0.04,,15,,
ACC,1986,North Carolina,7,4,1,0.625,5,2,0,0.714,25.4,23.3,4.7,2.11,,18,,
ACC,1986,Georgia Tech,5,5,1,0.5,3,3,0,0.5,25.6,19.2,2.7,0.25,,,,
ACC,1986,Maryland,5,5,1,0.5,2,3,1,0.417,23.8,19.2,5.79,2.7,,13,,
ACC,1986,Wake Forest,5,6,0,0.455,2,5,0,0.286,29.5,26.8,-0.76,-1.4,,,,
ACC,1986,Duke,4,7,0,0.364,2,5,0,0.286,18.2,25.8,-7.09,-0.91,,,,
ACC,1986,Virginia,3,8,0,0.273,2,5,0,0.286,18,28.6,-8.39,0.33,,,,
ACC,1987,Clemson,10,2,0,0.833,6,1,0,0.857,27.8,14.7,13.71,2.3,9,7,12,
