Season,Date,Time,Location,Opponent,City,Tournament,Result
1998,"November 27, 1998 (Friday)",TBA,Home,Dartmouth,"Omaha, Neb.",,"L, 1-2 "
1998,"November 28, 1998 (Saturday)",TBA,Home,Dartmouth,"Omaha, Neb.",,"W, 7-4 "
1998,"December 4, 1998 (Friday)",TBA,Away,Michigan State,"East Lansing, Mich.",,"L, 0-2 "
1998,"December 5, 1998 (Saturday)",TBA,Away,Michigan State,"East Lansing, Mich.",,"L, 1-3 "
1998,"December 12, 1998 (Saturday)",TBA,Home,RIT,"Omaha, Neb.",,"L, 2-4 "
1998,"December 13, 1998 (Sunday)",TBA,Home,RIT,"Omaha, Neb.",,"L, 3-5 "
1998,"December 18, 1998 (Friday)",TBA,Home,Harvard,"Omaha, Neb.",,"L, 1-4 "
1998,"December 19, 1998 (Saturday)",TBA,Home,Harvard,"Omaha, Neb.",,"L, 3-4 "
1998,"December 31, 1998 (Thursday)",TBA,Away,Wisconsin,"Madison, Wis.",,"L, 2-6 "
1998,"January 2, 1999 (Saturday)",TBA,Home,Bowling Green,"Omaha, Neb.",,"L, 2-4 "
1998,"January 3, 1999 (Sunday)",TBA,Home,Bowling Green,"Omaha, Neb.",,"W, 6-1 "
1998,"January 15, 1999 (Friday)",TBA,Home,Air Force,"Omaha, Neb.",,"W, 6-2 "
1998,"January 16, 1999 (Saturday)",TBA,Home,Air Force,"Omaha, Neb.",,"W, 4-0 "
1998,"January 22, 1999 (Friday)",TBA,Away,Alaska Fairbanks,"Fairbanks, Alaska",,"L, 0-4 "
1998,"January 23, 1999 (Saturday)",TBA,Away,Alaska Fairbanks,"Fairbanks, Alaska",,"L, 0-7 "
1998,"January 29, 1999 (Friday)",TBA,Home,Niagara,"Omaha, Neb.",,"L, 2-8 "
1998,"January 30, 1999 (Saturday)",TBA,Home,Niagara,"Omaha, Neb.",,"W, 3-1 "
1998,"February 5, 1999 (Friday)",TBA,Home,Manitoba (Exhib.),"Omaha, Neb.",,"W, 5-2 "
1998,"February 6, 1999 (Saturday)",TBA,Home,Manitoba (Exhib.),"Omaha, Neb.",,"W, 2-0 "
1998,"February 12, 1999 (Friday)",TBA,Away,St. Cloud State,"St. Cloud, Minn.",,"L, 0-2 "
1998,"February 13, 1999 (Saturday)",TBA,Away,St. Cloud State,"St. Cloud, Minn.",,"L, 0-5 "
1998,"February 18, 1999 (Thursday)",TBA,Home,Bemidji State,"Omaha, Neb.",,"W, 8-2 "
1998,"February 19, 1999 (Friday)",TBA,Home,Bemidji State,"Omaha, Neb.",,"W, 7-3 "
1998,"February 26, 1999 (Friday)",TBA,Away,Michigan Tech,"Houghton, Mich.",,"W, 6-4 "
1998,"February 27, 1999 (Saturday)",TBA,Away,Michigan Tech,"Houghton, Mich.",,"W, 5-3 "
1998,"March 5, 1999 (Friday)",TBA,Away,Minnesota State,"Mankato, Minn.",,"L, 2-4 "
1998,"March 6, 1999 (Saturday)",TBA,Away,Minnesota State,"Mankato, Minn.",,"W, 5-4"
1999,"October 8, 1999 (Friday)",TBA,Home,Manitoba (Exhib.),"Omaha, Neb.",,"W, 5-3 "
1999,"October 15, 1999 (Friday)",TBA,Home,Michigan State,"Omaha, Neb.",,"L, 2-5 "
1999,"October 16, 1999 (Saturday)",TBA,Home,Michigan State,"Omaha, Neb.",,"L, 2-6 "
1999,"October 29, 1999 (Friday)",TBA,Away,Northern Michigan,"Marquette, Mich.",,"L, 0-2 "
1999,"October 30, 1999 (Saturday)",TBA,Away,Northern Michigan,"Marquette, Mich.",,"T, 4-4 "
1999,"November 5, 1999 (Friday)",TBA,Home,Notre Dame,"Omaha, Neb.",,"T, 2-2 "
1999,"November 6, 1999 (Saturday)",TBA,Home,Notre Dame,"Omaha, Neb.",,"W, 5-3 "
1999,"November 12, 1999 (Friday)",TBA,Home,Western Michigan,"Omaha, Neb.",,"W, 3-1 "
1999,"November 13, 1999 (Saturday)",TBA,Home,Western Michigan,"Omaha, Neb.",,"T, 4-4 "
1999,"November 19, 1999 (Friday)",TBA,Away,Ohio State,"Columbus, Ohio",,"L, 2-5 "
1999,"November 20, 1999 (Saturday)",TBA,Away,Ohio State,"Columbus, Ohio",,"T, 2-2 "
1999,"December 3, 1999 (Friday)",TBA,Home,Alaska Fairbanks,"Omaha, Neb.",,"W, 5-3 "
1999,"December 4, 1999 (Saturday)",TBA,Home,Alaska Fairbanks,"Omaha, Neb.",,"W, 4-2 "
1999,"December 10, 1999 (Friday)",TBA,Away,Michigan,"Ann Arbor, Mich.",,"L, 2-6 "
1999,"December 11, 1999 (Saturday)",TBA,Away,Michigan,"Ann Arbor, Mich.",,"L, 1-6 "
1999,"December 17, 1999 (Friday)",TBA,Home,Minnesota Duluth,"Omaha, Neb.",,"L, 4-5 "
1999,"December 18, 1999 (Saturday)",TBA,Home,Minnesota Duluth,"Omaha, Neb.",,"W, 3-2 "
1999,"December 27, 1999 (Monday)",TBA,Away,Wisconsin,"Madison, Wis.",Badger Showdown,"L, 4-6 "
1999,"December 28, 1999 (Tuesday)",TBA,Neutral,Miami,"Madison, Wis.",Badger Showdown,"W, 4-3 "
1999,"January 7, 2000 (Friday)",,Away,Denver,"Denver, Colo.",,"L, 1-4 "
1999,"January 8, 2000 (Saturday)",,Away,Denver,"Denver, Colo.",,"L, 2-3 "
1999,"January 13, 2000 (Thursday)",TBA,Away,Michigan State,"East Lansing, Mich.",,"W, 4-3 "
1999,"January 14, 2000 (Friday)",TBA,Away,Michigan State,"East Lansing, Mich.",,"L, 1-3 "
1999,"January 21, 2000 (Friday)",TBA,Home,Lake Superior State,"Omaha, Neb.",,"L, 1-2 "
1999,"January 22, 2000 (Saturday)",TBA,Home,Lake Superior State,"Omaha, Neb.",,"W, 4-1 "
1999,"January 28, 2000 (Friday)",TBA,Away,Ferris State,"Big Rapids, Mich.",,"T, 5-5 "
1999,"January 29, 2000 (Saturday)",TBA,Away,Ferris State,"Big Rapids, Mich.",,"W, 5-2 "
1999,"February 4, 2000 (Friday)",TBA,Home,Bowling Green,"Omaha, Neb.",,"W, 4-3 "
1999,"February 5, 2000 (Saturday)",TBA,Home,Bowling Green,"Omaha, Neb.",,"L, 2-3 "
1999,"February 11, 2000 (Friday)",TBA,Away,Notre Dame,"South Bend, Ind.",,"W, 3-1 "
1999,"February 12, 2000 (Saturday)",TBA,Away,Notre Dame,"South Bend, Ind.",,"L, 4-7 "
1999,"February 18, 2000 (Friday)",TBA,Home,Miami,"Omaha, Neb.",,"W, 3-1 "
1999,"February 20, 2000 (Sunday)",TBA,Home,Miami,"Omaha, Neb.",,"L, 3-6 "
1999,"February 25, 2000 (Friday)",TBA,Away,Alaska Fairbanks,"Fairbanks, Alaska",,"T, 2-2 "
1999,"February 26, 2000 (Saturday)",TBA,Away,Alaska Fairbanks,"Fairbanks, Alaska",,"L, 4-5 "
1999,"March 2, 2000 (Thursday)",TBA,Home,Niagara,"Omaha, Neb.",,"L, 0-6 "
1999,"March 3, 2000 (Friday)",TBA,Home,Niagara,"Omaha, Neb.",,"T, 3-3 "
1999,"March 10, 2000 (Friday)",TBA,Away,Northern Michigan,"Marquette, Mich.",CCHA Playoffs,"W, 4-2 "
1999,"March 11, 2000 (Saturday)",TBA,Away,Northern Michigan,"Marquette, Mich.",CCHA Playoffs,"L, 1-5 "
1999,"March 12, 2000 (Sunday)",TBA,Away,Northern Michigan,"Marquette, Mich.",CCHA Playoffs,"W, 2-1 "
1999,"March 14, 2000 (Tuesday)",TBA,Home,Bowling Green,"Omaha, Neb.",CCHA Play-In Game,"W, 3-1 "
1999,"March 17, 2000 (Friday)",TBA,Neutral,Michigan,"Detroit, Mich.",CCHA Final Four,"W, 7-4 "
1999,"March 18, 2000 (Saturday)",TBA,Neutral,Michigan State,"Detroit, Mich.",CCHA Final Four,"L, 0-6"
2000,"October 6, 2000 (Friday)",TBA,Home,Manitoba (Exhib.),"Omaha, Neb.",,"W, 6-1 "
2000,"October 13, 2000 (Friday)",TBA,Home,Niagara,"Omaha, Neb.",Maverick Stampede Tournament,"W, 4-0 "
2000,"October 14, 2000 (Saturday)",TBA,Home,Boston College,"Omaha, Neb.",Maverick Stampede Tournament,"L, 1-5 "
2000,"October 20, 2000 (Friday)",TBA,Away,Michigan State,"East Lansing, Mich.",,"W, 2-1 "
2000,"October 21, 2000 (Saturday)",TBA,Away,Michigan State,"East Lansing, Mich.",,"L, 1-4 "
2000,"October 27, 2000 (Friday)",TBA,Home,Ferris State,"Omaha, Neb.",,"W, 7-4 "
2000,"October 28, 2000 (Saturday)",TBA,Home,Ferris State,"Omaha, Neb.",,"W, 7-3 "
2000,"November 3, 2000 (Friday)",TBA,Away,Lake Superior State,"Sault Ste. Marie, Mich.",,"L, 3-4 "
2000,"November 4, 2000 (Saturday)",TBA,Away,Lake Superior State,"Sault Ste. Marie, Mich.",,"L, 2-5 "
2000,"November 10, 2000 (Friday)",TBA,Home,Massachusetts,"Omaha, Neb.",,"W, 3-2 "
2000,"November 11, 2000 (Saturday)",TBA,Home,Massachusetts,"Omaha, Neb.",,"W, 3-1 "
2000,"November 17, 2000 (Friday)",TBA,Away,Miami,"Oxford, Ohio",,"L, 2-3 "
2000,"November 18, 2000 (Saturday)",TBA,Away,Miami,"Oxford, Ohio",,"L, 2-6 "
2000,"November 24, 2000 (Friday)",TBA,Away,Merrimack,"North Andover, Mass.",,"L, 0-2 "
2000,"November 25, 2000 (Saturday)",TBA,Away,Merrimack,"North Andover, Mass.",,"L, 1-2 "
2000,"December 1, 2000 (Friday)",TBA,Home,Alaska Fairbanks,"Omaha, Neb.",,"W, 5-1 "
2000,"December 2, 2000 (Saturday)",TBA,Home,Alaska Fairbanks,"Omaha, Neb.",,"T, 2-2 "
2000,"December 8, 2000 (Friday)",TBA,Away,Bowling Green,"Bowling Green, Ohio",,"W, 3-1 "
2000,"December 9, 2000 (Saturday)",TBA,Away,Bowling Green,"Bowling Green, Ohio",,"L, 2-7 "
2000,"December 19, 2000 (Tuesday)",TBA,Home,Notre Dame,"Omaha, Neb.",,"W, 1-0 "
2000,"December 20, 2000 (Wednesday)",TBA,Home,Notre Dame,"Omaha, Neb.",,"L, 3-7 "
2000,"December 29, 2000 (Friday)",TBA,Neutral,UMass Lowell,"Huntsville, Ala.",SBC Holiday Classic,"W, 5-2 "
2000,"December 30, 2000 (Saturday)",TBA,Neutral,Canisius,"Huntsville, Ala.",SBC Holiday Classic,"W, 3-1 "
2000,"January 12, 2001 (Friday)",TBA,Home,Bowling Green,"Omaha, Neb.",,"W, 3-2 "
2000,"January 13, 2001 (Saturday)",TBA,Home,Bowling Green,"Omaha, Neb.",,"W, 3-2 "
2000,"January 19, 2001 (Friday)",TBA,Home,Northern Michigan,"Omaha, Neb.",,"W, 4-2 "
2000,"January 20, 2001 (Saturday)",TBA,Home,Northern Michigan,"Omaha, Neb.",,"W, 4-3 "
2000,"January 26, 2001 (Friday)",TBA,Away,Alaska Fairbanks,"Fairbanks, Alaska",,"T, 3-3 "
2000,"January 27, 2001 (Saturday)",TBA,Away,Alaska Fairbanks,"Fairbanks, Alaska",,"L, 2-3 "
2000,"February 2, 2001 (Friday)",TBA,Home,Michigan,"Omaha, Neb.",,"W, 4-1 "
2000,"February 3, 2001 (Saturday)",TBA,Home,Michigan,"Omaha, Neb.",,"L, 1-4 "
2000,"February 9, 2001 (Friday)",TBA,Away,Western Michigan,"Kalamazoo, Mich.",,"W, 2-1 "
2000,"February 10, 2001 (Saturday)",TBA,Away,Western Michigan,"Kalamazoo, Mich.",,"T, 3-3 "
2000,"February 16, 2001 (Friday)",TBA,Home,Ohio State,"Omaha, Neb.",,"L, 3-4 "
2000,"February 17, 2001 (Saturday)",TBA,Home,Ohio State,"Omaha, Neb.",,"W, 6-1 "
2000,"February 23, 2001 (Friday)",TBA,Away,Ferris State,"Big Rapids, Mich.",,"W, 4-2 "
2000,"February 24, 2001 (Saturday)",TBA,Away,Ferris State,"Big Rapids, Mich.",,"W, 2-1 "
2000,"March 1, 2001 (Thursday)",TBA,Home,Findlay,"Omaha, Neb.",,"W, 5-0 "
2000,"March 2, 2001 (Friday)",TBA,Home,Findlay,"Omaha, Neb.",,"W, 4-0 "
2000,"March 9, 2001 (Friday)",TBA,Home,Ohio State,"Omaha, Neb.",CCHA Playoffs,"L, 4-5 "
2000,"March 10, 2001 (Saturday)",TBA,Home,Ohio State,"Omaha, Neb.",CCHA Playoffs,"W, 2-1 "
2000,"March 11, 2001 (Sunday)",TBA,Home,Ohio State,"Omaha, Neb.",CCHA Playoffs,"W, 4-3 "
2000,"March 16, 2001 (Friday)",TBA,Neutral,Michigan,"Detroit, Mich.",CCHA Final Four,"L, 2-3"
2001,"October 6, 2001 (Saturday)",TBA,Home,Manitoba (Exhib.),"Kearney, Neb.",,"W, 6-1 "
2001,"October 12, 2001 (Friday)",TBA,Home,Minnesota Duluth,"Omaha, Neb.",Maverick Stampede Tournament,"L, 2-5 "
2001,"October 13, 2001 (Saturday)",TBA,Home,Providence,"Omaha, Neb.",Maverick Stampede Tournament,"W, 4-3 "
2001,"October 19, 2001 (Friday)",TBA,Away,Colgate,"Hamilton, N.Y.",,"W, 5-4 "
2001,"October 20, 2001 (Saturday)",TBA,Away,Colgate,"Hamilton, N.Y.",,"W, 5-3 "
2001,"October 26, 2001 (Friday)",TBA,Home,Michigan State,"Omaha, Neb.",,"W, 4-3 "
2001,"October 27, 2001 (Saturday)",TBA,Home,Michigan State,"Omaha, Neb.",,"W, 5-1 "
2001,"November 2, 2001 (Friday)",TBA,Away,Ohio State,"Columbus, Ohio",,"L, 0-1 "
2001,"November 3, 2001 (Saturday)",TBA,Away,Ohio State,"Columbus, Ohio",,"W, 4-1 "
2001,"November 9, 2001 (Friday)",TBA,Away,Western Michigan,"Kalamazoo, Mich.",,"W, 4-1 "
2001,"November 10, 2001 (Saturday)",TBA,Away,Western Michigan,"Kalamazoo, Mich.",,"L, 0-2 "
2001,"November 16, 2001 (Friday)",TBA,Home,Michigan,"Omaha, Neb.",,"T, 4-4 "
2001,"November 17, 2001 (Saturday)",TBA,Home,Michigan,"Omaha, Neb.",,"L, 2-3 "
2001,"November 23, 2001 (Friday)",TBA,Home,Ferris State,"Omaha, Neb.",,"L, 2-7 "
2001,"November 24, 2001 (Saturday)",TBA,Home,Ferris State,"Omaha, Neb.",,"W, 5-2 "
2001,"November 30, 2001 (Friday)",TBA,Away,Bowling Green,"Bowling Green, Ohio",,"T, 2-2 "
2001,"December 1, 2001 (Saturday)",TBA,Away,Bowling Green,"Bowling Green, Ohio",,"W, 2-1 "
2001,"December 7, 2001 (Friday)",TBA,Home,Alaska Fairbanks,"Omaha, Neb.",,"L, 2-4 "
2001,"December 8, 2001 (Saturday)",TBA,Home,Alaska Fairbanks,"Omaha, Neb.",,"L, 1-3 "
2001,"December 20, 2001 (Thursday)",TBA,Home,Boston University,"Omaha, Neb.",,"L, 1-4 "
2001,"December 21, 2001 (Friday)",TBA,Home,Boston University,"Omaha, Neb.",,"W, 4-3 "
2001,"January 4, 2002 (Friday)",TBA,Away,Northern Michigan,"Marquette, Mich.",,"L, 1-3 "
2001,"January 5, 2002 (Saturday)",TBA,Away,Northern Michigan,"Marquette, Mich.",,"T, 2-2 "
2001,"January 11, 2002 (Friday)",TBA,Home,Alabama Huntsville,"Omaha, Neb.",,"W, 4-2 "
2001,"January 12, 2002 (Saturday)",TBA,Home,Alabama Huntsville,"Omaha, Neb.",,"W, 3-2 "
2001,"January 18, 2002 (Friday)",TBA,Away,Notre Dame,"Notre Dame, Ind.",,"W, 3-2 "
2001,"January 19, 2002 (Saturday)",TBA,Away,Notre Dame,"Notre Dame, Ind.",,"W, 4-2 "
2001,"January 25, 2002 (Friday)",TBA,Home,Lake Superior State,"Omaha, Neb.",,"W, 3-0 "
2001,"January 27, 2002 (Sunday)",TBA,Home,Lake Superior State,"Omaha, Neb.",,"W, 3-1 "
2001,"February 1, 2002 (Friday)",TBA,Home,Miami,"Omaha, Neb.",,"W, 2-0 "
2001,"February 2, 2002 (Saturday)",TBA,Home,Miami,"Omaha, Neb.",,"W, 3-0 "
2001,"February 8, 2002 (Friday)",TBA,Away,Michigan,"Ann Arbor, Mich.",,"L, 1-2 "
2001,"February 9, 2002 (Saturday)",TBA,Away,Michigan,"Ann Arbor, Mich.",,"L, 3-6 "
2001,"February 15, 2002 (Friday)",TBA,Home,Western Michigan,"Omaha, Neb.",,"W, 5-3 "
2001,"February 16, 2002 (Saturday)",TBA,Home,Western Michigan,"Omaha, Neb.",,"L, 1-3 "
2001,"February 22, 2002 (Friday)",TBA,Away,Alaska Fairbanks,"Fairbanks, Alaska",,"L, 2-3 "
2001,"February 23, 2002 (Saturday)",TBA,Away,Alaska Fairbanks,"Fairbanks, Alaska",,"T, 2-2 "
2001,"February 28, 2002 (Thursday)",TBA,Home,Minnesota State,"Omaha, Neb.",,"W, 4-2 "
2001,"March 1, 2002 (Friday)",TBA,Away,Minnesota State,"Mankato, Minn.",,"L, 3-4 "
2001,"March 8, 2002 (Friday)",TBA,Home,Notre Dame,"Omaha, Neb.",CCHA Playoffs,"W, 3-2 "
2001,"March 9, 2002 (Saturday)",TBA,Home,Notre Dame,"Omaha, Neb.",CCHA Playoffs,"L, 1-2 "
2001,"March 10, 2002 (Sunday)",TBA,Home,Notre Dame,"Omaha, Neb.",CCHA Playoffs,"L, 1-2"
2002,"October 6, 2002 (Sunday)",TBA,Home,Manitoba (Exhib.),"Omaha, Neb.",,"W, 6-0 "
2002,"October 11, 2002 (Friday)",TBA,Home,Colgate,"Omaha, Neb.",Maverick Stampede Tournament,"T, 5-5 "
2002,"October 12, 2002 (Saturday)",TBA,Home,Denver,"Omaha, Neb.",Maverick Stampede Tournament,"L, 2-3 "
2002,"October 18, 2002 (Friday)",TBA,Home,Miami,"Omaha, Neb.",,"W, 3-2 "
2002,"October 19, 2002 (Saturday)",TBA,Home,Miami,"Omaha, Neb.",,"L, 2-5 "
2002,"October 25, 2002 (Friday)",TBA,Away,Boston University,"Boston, Mass.",,"L, 4-6 "
2002,"October 27, 2002 (Sunday)",TBA,Away,Massachusetts,"Amherst, Mass.",,"W, 3-2 "
2002,"November 1, 2002 (Friday)",TBA,Away,Western Michigan,"Kalamazoo, Mich.",,"L, 2-8 "
2002,"November 2, 2002 (Saturday)",TBA,Away,Western Michigan,"Kalamazoo, Mich.",,"W, 2-0 "
2002,"November 8, 2002 (Friday)",TBA,Home,Alaska Fairbanks,"Omaha, Neb.",,"L, 3-4 "
2002,"November 9, 2002 (Saturday)",TBA,Home,Alaska Fairbanks,"Omaha, Neb.",,"L, 2-3 "
2002,"November 22, 2002 (Friday)",TBA,Home,Northern Michigan,"Omaha, Neb.",,"L, 1-2 "
2002,"November 23, 2002 (Saturday)",TBA,Home,Northern Michigan,"Omaha, Neb.",,"W, 5-4 "
2002,"November 29, 2002 (Friday)",TBA,Home,Merrimack,"Omaha, Neb.",,"T, 3-3 "
2002,"November 30, 2002 (Saturday)",TBA,Home,Merrimack,"Omaha, Neb.",,"W, 5-3 "
2002,"December 6, 2002 (Friday)",TBA,Away,Lake Superior State,"Sault Ste. Marie, Mich.",,"W, 4-1 "
2002,"December 7, 2002 (Saturday)",TBA,Away,Lake Superior State,"Sault Ste. Marie, Mich.",,"W, 3-0 "
2002,"December 13, 2002 (Friday)",TBA,Away,Ohio State,"Columbus, Ohio",,"L, 1-4 "
2002,"December 14, 2002 (Saturday)",TBA,Away,Ohio State,"Columbus, Ohio",,"L, 1-3 "
2002,"January 3, 2003 (Friday)",TBA,Home,Notre Dame,"Omaha, Neb.",,"L, 3-5 "
2002,"January 4, 2003 (Saturday)",TBA,Home,Notre Dame,"Omaha, Neb.",,"W, 5-3 "
2002,"January 10, 2003 (Friday)",TBA,Away,Miami,"Oxford, Ohio",,"L, 0-3 "
2002,"January 11, 2003 (Saturday)",TBA,Away,Miami,"Oxford, Ohio",,"T, 2-2 "
2002,"January 17, 2003 (Friday)",TBA,Away,Michigan State,"East Lansing, Mich.",,"L, 2-5 "
2002,"January 18, 2003 (Saturday)",TBA,Away,Michigan State,"East Lansing, Mich.",,"L, 0-7 "
2002,"January 24, 2003 (Friday)",TBA,Home,Ohio State,"Omaha, Neb.",,"W, 4-0 "
2002,"January 25, 2003 (Saturday)",TBA,Home,Ohio State,"Omaha, Neb.",,"W, 3-1 "
2002,"January 31, 2003 (Friday)",TBA,Home,Bowling Green,"Omaha, Neb.",,"L, 0-5 "
2002,"February 1, 2003 (Saturday)",TBA,Home,Bowling Green,"Omaha, Neb.",,"W, 6-3 "
2002,"February 7, 2003 (Friday)",TBA,Away,Alaska Fairbanks,"Fairbanks, Alaska",,"T, 3-3 "
2002,"February 8, 2003 (Saturday)",TBA,Away,Alaska Fairbanks,"Fairbanks, Alaska",,"L, 3-4 "
2002,"February 14, 2003 (Friday)",TBA,Home,Bemidji State,"Omaha, Neb.",,"W, 5-2 "
2002,"February 15, 2003 (Saturday)",TBA,Home,Bemidji State,"Omaha, Neb.",,"W, 3-2 "
2002,"February 21, 2003 (Friday)",TBA,Home,Michigan,"Omaha, Neb.",,"L, 1-6 "
2002,"February 22, 2003 (Saturday)",TBA,Home,Michigan,"Omaha, Neb.",,"L, 3-5 "
2002,"February 28, 2003 (Friday)",TBA,Away,Ferris State,"Big Rapids, Mich.",,"L, 0-5 "
2002,"March 1, 2003 (Saturday)",TBA,Away,Ferris State,"Big Rapids, Mich.",,"L, 0-4 "
2002,"March 6, 2003 (Thursday)",TBA,Away,Minnesota State,"Mankato, Minn.",,"L, 0-3 "
2002,"March 8, 2003 (Saturday)",TBA,Home,Minnesota State,"Omaha, Neb.",,"T, 2-2 "
2002,"March 14, 2003 (Friday)",TBA,Away,Ohio State,"Columbus, Ohio",CCHA Playoffs,"L, 1-4 "
2002,"March 15, 2003 (Saturday)",TBA,Away,Ohio State,"Columbus, Ohio",CCHA Playoffs,"L, 1-3"
2003,"October 5, 2003 (Sunday)",TBA,Home,Manitoba (Exhib.),"Omaha, Neb.",,"L, 2-5 "
2003,"October 10, 2003 (Friday)",8:05 AM,Home,Wisconsin,"Omaha, Neb.",Mutual of Omaha Stampede,"L, 3-4 "
2003,"October 11, 2003 (Saturday)",5:05 AM,Home,Minnesota,"Omaha, Neb.",Mutual of Omaha Stampede,"L, 3-7 "
2003,"October 17, 2003 (Friday)",6:35 AM,Away,Western Michigan,"Kalamazoo, Mich.",,"L, 1-5 "
2003,"October 18, 2003 (Saturday)",6:05 AM,Away,Western Michigan,"Kalamazoo, Mich.",,"T, 2-2 "
2003,"October 30, 2003 (Thursday)",6:35 AM,Away,Notre Dame,"Notre Dame, Ind.",,"L, 2-4 "
2003,"October 31, 2003 (Friday)",6:35 AM,Away,Notre Dame,"Notre Dame, Ind.",,"L, 0-2 "
2003,"November 7, 2003 (Friday)",7:05 AM,Home,Lake Superior State,"Omaha, Neb.",,"W, 7-1 "
